timestamp,zip_code,run_duration_seconds,offers_fetched,history_inserted,current_replaced
2026-04-01 16:21:47,9000,1.55,703,703,703
2026-04-01 16:48:03,9000,1.65,721,721,721
2026-04-01 16:49:26,9000,1.35,721,721,721
2026-04-01 16:51:46,9000,13.69,721,721,721
2026-04-01 17:00:03,9000,1.66,721,721,721
2026-04-01 17:15:03,9000,1.58,716,716,716
2026-04-01 17:32:49,9000,2.72,713,713,713
2026-04-01 17:45:02,9000,1.48,713,713,713
2026-04-01 18:14:32,9000,1.46,711,711,711
2026-04-01 18:15:03,9000,1.34,711,711,711
2026-04-01 18:30:06,9000,4.89,727,727,727
2026-04-01 18:45:03,9000,1.27,727,727,727
2026-04-01 19:00:02,9000,1.37,741,741,741
2026-04-01 19:15:10,9000,8.21,733,733,733
2026-04-01 19:30:02,9000,1.14,733,733,733
2026-04-01 19:45:03,9000,1.45,725,725,725
2026-04-01 20:00:02,9000,1.06,725,725,725
2026-04-01 20:15:02,9000,1.51,717,717,717
2026-04-01 20:30:03,9000,1.5,705,705,705
2026-04-01 20:45:03,9000,1.48,705,705,705
2026-04-01 21:00:02,9000,1.2,700,700,700
2026-04-01 21:30:03,9000,1.41,689,689,689
2026-04-01 21:45:02,9000,1.26,689,689,689
2026-04-02 04:00:03,9000,1.42,621,621,621
2026-04-02 04:15:02,9000,1.13,621,621,621
2026-04-02 04:30:03,9000,1.43,621,621,621
2026-04-02 04:45:02,9000,1.29,621,621,621
2026-04-02 05:00:02,9000,1.23,621,621,621
2026-04-02 05:15:04,9000,2.57,621,621,621
2026-04-02 05:30:03,9000,2.02,621,621,621
2026-04-02 05:45:02,9000,1.68,621,621,621
2026-04-02 06:00:03,9000,1.81,621,621,621
2026-04-02 06:15:02,9000,1.26,618,618,618
2026-04-02 06:30:04,9000,2.06,617,617,617
2026-04-02 06:45:02,9000,1.23,617,617,617
2026-04-02 07:00:03,9000,1.24,632,632,632
2026-04-02 07:15:18,9000,16.52,629,629,629
2026-04-02 07:30:02,9000,1.21,629,629,629
2026-04-02 07:45:02,9000,1.1,615,615,615
2026-04-02 08:00:02,9000,1.46,615,615,615
2026-04-02 08:15:03,9000,1.53,638,638,638
2026-04-02 08:30:03,9000,1.23,638,638,638
2026-04-02 08:45:02,9000,1.3,627,627,627
2026-04-02 09:00:03,9000,1.43,627,627,627
2026-04-02 09:15:03,9000,1.36,627,627,627
2026-04-02 09:30:02,9000,0.95,626,626,626
2026-04-02 09:45:03,9000,1.4,630,630,630
2026-04-02 10:00:02,9000,1.1,630,630,630
2026-04-02 10:15:03,9000,1.71,628,628,628
2026-04-02 10:30:03,9000,1.22,628,628,628
2026-04-02 10:45:02,9000,1.22,624,624,624
2026-04-02 11:00:03,9000,1.22,619,619,619
2026-04-02 11:15:15,9000,13.43,619,619,619
2026-04-02 11:30:02,9000,1.3,604,604,604
2026-04-02 11:45:03,9000,1.31,602,602,602
2026-04-02 12:00:02,9000,1.21,602,602,602
2026-04-02 12:15:03,9000,1.25,609,609,609
2026-04-02 12:30:02,9000,1.15,609,609,609
2026-04-02 12:45:03,9000,1.01,578,578,578
2026-04-02 13:00:18,9000,17.48,576,576,576
2026-04-02 13:15:03,9000,0.98,576,576,576
2026-04-02 13:30:02,9000,1.03,582,582,582
2026-04-02 13:45:02,9000,1.12,582,582,582
2026-04-02 14:00:03,9000,1.18,589,589,589
